transactionId;partner;totalValue
92316296;Criteo;269.9
92292496;Criteo;159.9
92275496;Criteo;46.05
92275296;Criteo;219.8
92269496;Criteo;479.6
92263496;Triggit;188.72
92253496;Criteo;179.9
92253366;Criteo;329.9
92251496;Criteo;219.9
92238296;Criteo;99.9
92236296;Vizury;353.83
92235496;Criteo;34.81
92222296;Criteo;139.9
92211496;Sociomantic;54.81
92167496;Triggit;550.5
92158296;Triggit;382.7
92154496;Criteo;85.81
92145296;Criteo;99.9
92142296;Criteo;269.9
92136296;Criteo;129.9
92128496;Criteo;378.63
92127496;Criteo;518.9
92127296;Criteo;139.9
92114296;Triggit;99.9
92111496;Criteo;179.9
91998496;Criteo;527.0
91994496;Criteo;159.8
91993496;Criteo;518.0
91989296;Triggit;144.9
91988496;Criteo;72.86
91981496;Triggit;318.8
91975296;Criteo;149.9
91967496;Criteo;129.9
91965496;Triggit;249.9
91962496;Criteo;239.9
91954496;Triggit;76.83
91947496;Criteo;324.64
91935496;Criteo;145.95
91933366;Criteo;95.81
91929496;Criteo;514.7
91919496;Criteo;156.9
91919296;Criteo;275.6
91916496;Triggit;84.81
91914496;Criteo;189.9
91893496;Criteo;124.0
91884496;Criteo;86.83
91882296;Criteo;249.0
91876296;Criteo;119.9
91864496;Criteo;89.81
91855496;Criteo;44.81
91845296;Criteo;99.9
91844296;Criteo;39.9
91842496;Criteo;65.93
91835496;Criteo;249.9
91827296;Sociomantic;289.0
91822496;Criteo;299.0
91822296;Criteo;120.0
91821496;Criteo;178.8
91814296;Triggit;149.9
91795296;Triggit;139.9
91787296;Triggit;159.9
91773366;Criteo;132.9
91759496;Triggit;239.0
91756296;Criteo;679.63
91735496;Criteo;259.8
91726296;Triggit;96.81
91721496;Criteo;199.9
91719496;Criteo;44.81
91717496;Triggit;149.8
91713366;Criteo;283.82
91698296;Criteo;219.99
91694496;Criteo;239.9
91694296;Triggit;157.04
91687296;Criteo;100.8
91682496;Criteo;59.64
91674496;Criteo;99.9
91666496;Criteo;160.7
91664296;Criteo;109.9
91654296;Criteo;65.73
91647496;Criteo;189.9
91624296;Criteo;164.9
91618496;Criteo;748.8
91596296;Criteo;159.9
91582496;Criteo;169.9
91577496;Criteo;119.8
91577296;Vizury;269.8
91572296;Criteo;159.8
91569496;Criteo;299.79
91566296;Criteo;74.81
91557496;Triggit;256.8
91554496;Criteo;179.9
91547296;Triggit;199.9
91533496;Criteo;113.8
91522296;Criteo;139.9
91521496;Criteo;189.9
91517296;Sociomantic;228.73
91513496;Criteo;399.8
91512296;Criteo;169.7
91495296;Criteo;59.73
91493496;Triggit;88.86
91492496;Criteo;209.0
91489496;Criteo;159.9
91458296;Sociomantic;159.8
91456496;Criteo;202.9
91447296;Criteo;69.81
91438496;Triggit;274.95
91437296;Triggit;64.81
91432296;Sociomantic;84.81
91429496;Criteo;84.81
91429296;Criteo;86.05
91422496;Triggit;139.9
91417496;Criteo;320.7
91416296;Criteo;99.9
91389496;Criteo;149.9
91368296;Triggit;183.73
91348296;Criteo;99.9
91347296;Criteo;77.91
91346496;Criteo;381.62
91337496;Mainadv;35.86
91333496;Triggit;109.9
91319496;Criteo;99.9
91317496;Criteo;309.7
91316496;Criteo;169.9
91314496;Criteo;119.9
91313366;Criteo;199.9
91291496;Criteo;99.9
91287296;Sociomantic;66.83
91282296;Criteo;299.8
91281496;Criteo;416.9
91279496;Criteo;894.0
91275496;Triggit;139.9
91258296;Criteo;209.9
91257296;Sociomantic;96.05
